SEQUENTIAL_CUTOFF,Length,Size,Time,
50,100000,15,186.824578
100,100000,15,123.293193
200,100000,15,74.450565
400,100000,15,151.370485
800,100000,15,164.090477
1600,100000,15,99.634892
3200,100000,15,70.506504
6400,100000,15,90.855228
12800,100000,15,83.410778
25600,100000,15,111.922877
51200,100000,15,109.497377
102400,100000,15,205.519913
204800,100000,15,336.972282
409600,100000,15,292.005602
819200,100000,15,226.048717
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,200000,15,177.363777
100,200000,15,146.322608
200,200000,15,180.338851
400,200000,15,158.809802
800,200000,15,138.185358
1600,200000,15,138.478807
3200,200000,15,129.656689
6400,200000,15,167.751353
12800,200000,15,133.261114
25600,200000,15,127.97764
51200,200000,15,131.281619
102400,200000,15,193.164281
204800,200000,15,277.398021
409600,200000,15,286.459471
819200,200000,15,275.877127
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,300000,15,197.802075
100,300000,15,187.106831
200,300000,15,194.169657
400,300000,15,191.676977
800,300000,15,194.632456
1600,300000,15,186.69255
3200,300000,15,183.208956
6400,300000,15,206.985756
12800,300000,15,215.358604
25600,300000,15,200.624127
51200,300000,15,186.169101
102400,300000,15,196.175745
204800,300000,15,270.044544
409600,300000,15,412.307858
819200,300000,15,410.232259
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,400000,15,265.585432
100,400000,15,252.405905
200,400000,15,277.435344
400,400000,15,256.122765
800,400000,15,276.61518
1600,400000,15,283.604296
3200,400000,15,252.710084
6400,400000,15,281.671919
12800,400000,15,259.74212
25600,400000,15,277.809502
51200,400000,15,286.393223
102400,400000,15,263.684315
204800,400000,15,372.60879
409600,400000,15,554.596366
819200,400000,15,571.427905
SEQUENTIAL_CUTOFF,Length,Length,Time,
50,500000,15,342.639246
100,500000,15,347.479982
200,500000,15,395.5435
400,500000,15,316.614228
800,500000,15,319.629425
1600,500000,15,454.563056
3200,500000,15,398.912794
6400,500000,15,435.859791
12800,500000,15,379.830238
25600,500000,15,421.563852
51200,500000,15,519.551421
102400,500000,15,388.994792
204800,500000,15,339.525612
409600,500000,15,489.425587
819200,500000,15,720.991511
SEQUENTIAL_CUTOFF,Length,Length,Time,
50,600000,15,451.878164
100,600000,15,400.058596
200,600000,15,540.10775
400,600000,15,438.10894
800,600000,15,442.820446
1600,600000,15,470.073376
3200,600000,15,424.567852
6400,600000,15,445.530531
12800,600000,15,501.048763
25600,600000,15,445.698482
51200,600000,15,377.44766
102400,600000,15,470.098102
204800,600000,15,358.502731
409600,600000,15,539.377161
819200,600000,15,874.534634
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,700000,15,445.047204
100,700000,15,442.59278
200,700000,15,435.996485
400,700000,15,444.959029
800,700000,15,429.802806
1600,700000,15,447.91964
3200,700000,15,440.573162
6400,700000,15,451.525933
12800,700000,15,452.124959
25600,700000,15,445.938746
51200,700000,15,449.486255
102400,700000,15,447.190452
204800,700000,15,455.249791
409600,700000,15,637.183714
819200,700000,15,980.084685
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,800000,15,519.583611
100,800000,15,518.423813
200,800000,15,506.596761
400,800000,15,531.375672
800,800000,15,596.334178
1600,800000,15,690.517178
3200,800000,15,612.217725
6400,800000,15,617.767122
12800,800000,15,560.209212
25600,800000,15,749.474685
51200,800000,15,538.854646
102400,800000,15,555.327421
204800,800000,15,720.81003
409600,800000,15,702.421208
819200,800000,15,1125.344533
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,900000,15,587.783115
100,900000,15,581.930005
200,900000,15,608.752325
400,900000,15,574.797199
800,900000,15,576.464117
1600,900000,15,615.580953
3200,900000,15,616.178115
6400,900000,15,589.972082
12800,900000,15,583.991143
25600,900000,15,631.528415
51200,900000,15,730.914179
102400,900000,15,656.333917
204800,900000,15,700.995019
409600,900000,15,581.140634
819200,900000,15,804.786711
SEQUENTIAL_CUTOFF,Length,Size,Time,
50,1000000,15,670.0131
100,1000000,15,635.840103
200,1000000,15,646.946828
400,1000000,15,639.842947
800,1000000,15,648.229325
1600,1000000,15,647.658756
3200,1000000,15,642.079034
6400,1000000,15,857.76701
12800,1000000,15,663.309969
25600,1000000,15,675.348359
51200,1000000,15,678.175543
102400,1000000,15,645.436198
204800,1000000,15,786.510322
409600,1000000,15,638.026738
819200,1000000,15,891.342847
