Size,Length,Time
3,1000000,357.606523
5,1000000,233.061159
7,1000000,269.698845
9,1000000,542.461403
11,1000000,463.555925
13,1000000,549.034839
15,1000000,650.962269
17,1000000,888.47041
19,1000000,847.728643
21,1000000,1000.624686
Size,Length,Time
3,1000000,244.173949
5,1000000,208.453465
7,1000000,323.557157
9,1000000,396.052487
11,1000000,480.879655
13,1000000,553.602186
15,1000000,628.855654
17,1000000,717.513982
19,1000000,936.050135
21,1000000,1664.250031
Size,Length,Time
3,1000000,2006.614023
5,1000000,240.792526
7,1000000,446.355359
9,1000000,415.283866
11,1000000,767.175839
13,1000000,579.071564
15,1000000,690.121559
17,1000000,784.396933
19,1000000,909.758728
21,1000000,1117.34771
Size,Length,Time
3,1000000,700.769218
5,1000000,200.548548
7,1000000,486.351609
9,1000000,558.938845
11,1000000,410.405808
13,1000000,620.986659
15,1000000,643.289685
17,1000000,886.331361
19,1000000,2501.430387
21,1000000,3076.521501
Size,Length,Time
3,1000000,282.368452
5,1000000,411.682706
7,1000000,279.140518
9,1000000,327.12426
11,1000000,438.198515
13,1000000,949.680332
15,1000000,958.11523
17,1000000,712.931705
19,1000000,806.581925
21,1000000,874.89713
Size,Length,Time
3,1000000,323.92525
5,1000000,181.414674
7,1000000,394.475142
9,1000000,329.602477
11,1000000,515.66241
13,1000000,554.280057
15,1000000,945.145176
17,1000000,666.222061
19,1000000,920.119003
21,1000000,889.848545

Size,Length,Time
3,100000,72.581638
5,100000,38.708155
7,100000,38.913895
9,100000,98.20124
11,100000,61.130145
13,100000,87.478936
15,100000,120.077855
17,100000,368.483715
19,100000,233.490368
21,100000,339.826059
Size,Length,Time
3,100000,31.341615
5,100000,29.349524
7,100000,29.390579
9,100000,55.346082
11,100000,56.657504
13,100000,92.064479
15,100000,135.345579
17,100000,167.28109
19,100000,171.638498
21,100000,320.139344
Size,Length,Time
3,100000,39.380893
5,100000,34.370807
7,100000,28.273234
9,100000,81.740126
11,100000,72.900746
13,100000,73.90099
15,100000,80.199638
17,100000,118.673594
19,100000,119.858585
21,100000,160.34096
Size,Length,Time
3,100000,49.267638
5,100000,30.884414
7,100000,27.198811
9,100000,41.157447
11,100000,47.851247
13,100000,64.563821
15,100000,104.861449
17,100000,127.487782
19,100000,115.80069
21,100000,138.747063

Size,Length,Time
3,500000,171.644096
5,500000,174.139575
7,500000,199.839887
9,500000,208.589693
11,500000,237.215159
13,500000,304.308049
15,500000,343.050261
17,500000,515.56957
19,500000,578.598034
21,500000,550.136788
Size,Length,Time
3,500000,115.657465
5,500000,143.870051
7,500000,288.345192
9,500000,314.045971
11,500000,237.213759
13,500000,296.724106
15,500000,339.118796
17,500000,373.093984
19,500000,417.557743
21,500000,647.127843
Size,Length,Time
3,500000,109.504375
5,500000,128.030825
7,500000,198.588181
9,500000,219.94508
11,500000,234.662296
13,500000,299.826076
15,500000,312.436901
17,500000,392.865608
19,500000,413.725183
21,500000,469.210292
Size,Length,Time
3,500000,135.828439
5,500000,297.883438
7,500000,225.203828
9,500000,237.747938
11,500000,289.080447
13,500000,299.27277
15,500000,360.125329
17,500000,428.463393
19,500000,463.356249
21,500000,484.549396
Size,Length,Time
3,500000,105.731997
5,500000,150.490605
7,500000,197.403657
9,500000,231.305599
11,500000,214.83049
13,500000,268.319309
15,500000,311.270571
17,500000,419.889469
19,500000,394.093519
21,500000,462.204382
