Length,windowSize,Time,
50000,3,417.653848
100000,3,360.278352
200000,3,366.582597
300000,3,455.302975
400000,3,941.275293
500000,3,986.293292
600000,3,780.902609
700000,3,1988.439806
800000,3,4806.455962
900000,3,5432.439644
Length,windowSize,Time,
50000,3,398.409873
100000,3,332.4082
200000,3,369.914102
300000,3,469.506073
400000,3,1362.267644
500000,3,748.969431
600000,3,817.328489
700000,3,792.569639
800000,3,941.318214
900000,3,1166.927458
Length,windowSize,Time
50000,3,432.898246
100000,3,288.668966
200000,3,302.105086
300000,3,422.28931
400000,3,819.972792
500000,3,662.172565
600000,3,908.61106
700000,3,740.207029
800000,3,961.326369
900000,3,1052.45825
Length,windowSize,Time
50000,3,404.338094
100000,3,321.687297
200000,3,391.895688
300000,3,452.069443
400000,3,933.067131
500000,3,933.635366
600000,3,777.01873
700000,3,660.400677
800000,3,1016.642593
900000,3,1656.389901
Length,windowSize,Time
50000,19,982.172415
100000,19,670.491762
200000,19,1728.307198
300000,19,1680.926215
400000,19,1566.066054
500000,19,1671.873163
600000,19,1467.707593
700000,19,2631.768212
800000,19,4073.685919
900000,19,2308.32349
Length,windowSize,Time
50000,19,480.654787
100000,19,621.511508
200000,19,1441.089613
300000,19,1861.687745
400000,19,5295.656681
500000,19,3089.870379
600000,19,1828.811239
700000,19,2015.666142
800000,19,2503.921668
900000,19,2908.378727
Length,windowSize,Time
50000,19,554.402288
100000,19,608.175692
200000,19,760.820742
300000,19,1439.522066
400000,19,1535.204966
500000,19,2100.818017
600000,19,2177.82751
700000,19,2638.248341
800000,19,2266.87726
900000,19,2809.041015
Length,windowSize,Time
50000,19,482.707527
100000,19,718.190453
200000,19,978.749004
300000,19,1069.961595
400000,19,1574.318536
500000,19,1336.467029
600000,19,1486.081953
700000,19,1842.848252
800000,19,2072.375898
900000,19,2408.613393
